#       y_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
             -3      3.5284584              0      3.5258876              0      3.5310292              0
           -2.8      5.3624386              0      5.3585271              0      5.3663501              0
           -2.6      7.6394369              0      7.6337356              0      7.6451382              0
           -2.4      10.350573              0       10.34285              0      10.358296              0
           -2.2      13.424394              0      13.414486              0      13.434302              0
             -2      16.784831              0      16.772176              0      16.797486              0
           -1.8      20.326557              0      20.310872              0      20.342242              0
           -1.6      23.889076              0      23.870931              0      23.907221              0
           -1.4      27.395177              0      27.374011              0      27.416343              0
           -1.2      30.577152              0      30.553819              0      30.600485              0
             -1      33.451977              0      33.425495              0      33.478459              0
           -0.8      35.843812              0      35.816054              0       35.87157              0
           -0.6      37.799605              0      37.770154              0      37.829056              0
           -0.4      39.052193              0      39.022013              0      39.082373              0
           -0.2      39.732367              0      39.701885              0      39.762849              0
              0      39.698935              0      39.668186              0      39.729684              0
            0.2      39.054787              0      39.024293              0      39.085281              0
            0.4      37.741352              0      37.712795              0      37.769909              0
            0.6       35.84302              0       35.81507              0       35.87097              0
            0.8       33.43263              0      33.406889              0      33.458371              0
              1      30.556299              0       30.53338              0      30.579218              0
            1.2      27.338126              0      27.318192              0       27.35806              0
            1.4      23.850703              0      23.833571              0      23.867835              0
            1.6      20.289862              0      20.275153              0      20.304571              0
            1.8      16.762362              0      16.749695              0      16.775029              0
              2      13.384988              0      13.375506              0       13.39447              0
            2.2      10.321966              0       10.31481              0      10.329122              0
            2.4      7.6334135              0      7.6282807              0      7.6385463              0
            2.6      5.3609471              0      5.3573186              0      5.3645756              0
            2.8      3.5273282              0      3.5251088              0      3.5295476              0
              3      3.5273282              0      3.5251088              0      3.5295476              0
