#  ptzoom_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0        2.34522              0      2.3133505              0      2.3770895              0
              4       0.351924              0     0.33852789              0     0.36532011              0
              8      -0.681538              0     -0.6887439              0     -0.6743321              0
             12     -0.4343596              0    -0.44376021              0    -0.42495899              0
             16     -0.2568693              0    -0.26116954              0    -0.25256906              0
             20     -0.1481854              0    -0.15647919              0    -0.13989161              0
             24     -0.0944096              0     -0.1006349              0   -0.088184297              0
             28     -0.0487129              0   -0.052859773              0   -0.044566027              0
             32     -0.0298246              0   -0.033100326              0   -0.026548874              0
             36     -0.0146367              0   -0.016713926              0   -0.012559474              0
             40     -0.0030602              0   -0.012487519              0   0.0063671189              0
             44    -0.00338133              0  -0.0042320514              0  -0.0025306086              0
             48      2.108e-05              0  -0.0016603462              0   0.0017025062              0
             52      2.108e-05              0  -0.0016603462              0   0.0017025062              0
