#  ptzoom_Higgs        central        num_err    min (scale)        num_err    max (scale)        num_err
              0        2.38842              0      2.3373467              0      2.4394933              0
              4       0.368224              0     0.35069878              0     0.38574922              0
              8      -0.684638              0    -0.69530013              0    -0.67397586              0
             12     -0.4317496              0    -0.45592803              0    -0.40757117              0
             16     -0.2500793              0    -0.25376954              0    -0.24638906              0
             20     -0.1369254              0    -0.15617253              0    -0.11767827              0
             24     -0.0793896              0   -0.081767246              0   -0.077011954              0
             28     -0.0403229              0   -0.046339354              0   -0.034306446              0
             32     -0.0262546              0    -0.03417155              0    -0.01833765              0
             36     -0.0101617              0   -0.011640092              0   -0.008683308              0
             40      0.0161498              0   -0.000613827              0    0.032913427              0
             44    -0.00437933              0  -0.0052060156              0  -0.0035526444              0
             48     0.00381008              0   0.0021902957              0   0.0054298643              0
             52     0.00381008              0   0.0021902957              0   0.0054298643              0
